baths,beds,city,latitude,longitude,price,sale_date,sq__ft,state,street,type,zip,price_mean,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft,n_zip,s_zip
,,,,,,,,,,,,,,,,,,
1.0,2.0,SACRAMENTO,38.631913,-121.43487900000001,59222.0,Wed May 21 00:00:00 EDT 2008,836.0,CA,3526 HIGH ST,Residential,95838.0,149461.35135135136,0.09090111054027583,-0.8455455441957693,0.14359326691858468,-0.5614181325355728,0.9003831417624522,1.0249655323907632
,,,,,,,,,,,,,,,,,,
1.0,3.0,SACRAMENTO,38.478902000000005,-121.431028,68212.0,Wed May 21 00:00:00 EDT 2008,1167.0,CA,51 OMAHA CT,Residential,95823.0,175243.04918032786,0.13518479390650892,-0.5881193521847142,0.20044658193060805,-0.17339787353050962,0.842911877394636,0.8488597360925242
,,,,,,,,,,,,,,,,,,
1.0,2.0,SACRAMENTO,38.618305,-121.44383899999998,68880.0,Wed May 21 00:00:00 EDT 2008,796.0,CA,2796 BRANCH ST,Residential,95815.0,115133.0,0.031937350596604464,-1.1883087254655407,0.136722775678461,-0.608308798276366,0.8122605363984674,0.7549366447334633
,,,,,,,,,,,,,,,,,,
1.0,2.0,SACRAMENTO,38.616834999999995,-121.439146,69307.0,Wed May 21 00:00:00 EDT 2008,852.0,CA,2805 JANETTE WAY,Residential,95815.0,115133.0,0.031937350596604464,-1.1883087254655407,0.14634146341463414,-0.5426618662392556,0.8122605363984674,0.7549366447334633
,,,,,,,,,,,,,,,,,,
1.0,2.0,SACRAMENTO,38.51947,-121.435768,81900.0,Wed May 21 00:00:00 EDT 2008,797.0,CA,6001 MCMAHON DR,Residential,95824.0,114467.58333333333,0.030794404109187233,-1.1949528060740786,0.1368945379594641,-0.6071365316328461,0.8467432950191571,0.8606001225124067
,,,,,,,,,,,,,,,,,,
1.0,3.0,SACRAMENTO,38.662595,-121.32781299999999,89921.0,Wed May 21 00:00:00 EDT 2008,1122.0,CA,5828 PEPPERMILL CT,Condo,95841.0,213806.14285714287,0.20142231795688895,-0.20307293579894814,0.19271727928546892,-0.2261498724889019,0.9118773946360154,1.060186691650411
,,,,,,,,,,,,,,,,,,
2.0,3.0,SACRAMENTO,38.681659,-121.35170500000001,90895.0,Wed May 21 00:00:00 EDT 2008,1104.0,CA,6048 OGDEN NASH WAY,Residential,95842.0,143281.77272727274,0.0802868172171311,-0.9072476634270934,0.18962555822741325,-0.24725067207225881,0.9157088122605364,1.0719270780702936
,,,,,,,,,,,,,,,,,,
1.0,3.0,SACRAMENTO,38.535092,-121.48136699999999,91002.0,Wed May 21 00:00:00 EDT 2008,1177.0,CA,2561 19TH AVE,Residential,95820.0,143371.47826086957,0.08044089905737113,-0.9063519678034251,0.20216420474063895,-0.16167520709531133,0.8314176245210728,0.8136385768328763
,,,,,,,,,,,,,,,,,,
2.0,2.0,RANCHO CORDOVA,38.621188000000004,-121.270555,94905.0,Wed May 21 00:00:00 EDT 2008,941.0,CA,11150 TRINITY RIVER DR Unit 114,Condo,95670.0,236060.2857142857,0.23964693071939736,0.019131175434781655,0.1616283064239093,-0.4383301349659908,0.2567049808429119,-0.9474193861495139
,,,,,,,,,,,,,,,,,,
2.0,3.0,RIO LINDA,38.700909,-121.44297900000001,98937.0,Wed May 21 00:00:00 EDT 2008,1146.0,CA,7325 10TH ST,Residential,95673.0,172727.61538461538,0.13086418343015552,-0.6132355624351656,0.1968395740295431,-0.19801547304442602,0.2681992337164751,-0.9121982268898662
,,,,,,,,,,,,,,,,,,
2.0,3.0,SACRAMENTO,38.637663,-121.45152,100309.0,Wed May 21 00:00:00 EDT 2008,909.0,CA,645 MORRISON AVE,Residential,95838.0,149461.35135135136,0.09090111054027583,-0.8455455441957693,0.15613191343181038,-0.47584266755862537,0.9003831417624522,1.0249655323907632
,,,,,,,,,,,,,,,,,,
2.0,3.0,SACRAMENTO,38.470746000000005,-121.458918,106250.0,Wed May 21 00:00:00 EDT 2008,1289.0,CA,4085 FAWN CIR,Residential,95823.0,175243.04918032786,0.13518479390650892,-0.5881193521847142,0.22140158021298523,-0.030381343021090565,0.842911877394636,0.8488597360925242
,,,,,,,,,,,,,,,,,,
1.0,1.0,SACRAMENTO,38.618697999999995,-121.435833,106852.0,Wed May 21 00:00:00 EDT 2008,871.0,CA,2930 LA ROSA RD,Residential,95815.0,115133.0,0.031937350596604464,-1.1883087254655407,0.1496049467536929,-0.5203888000123789,0.8122605363984674,0.7549366447334633
,,,,,,,,,,,,,,,,,,
1.0,3.0,SACRAMENTO,38.482215000000004,-121.492603,107502.0,Wed May 21 00:00:00 EDT 2008,1020.0,CA,2113 KIRK WAY,Residential,95822.0,157677.66666666666,0.10501378489842528,-0.7635069299037914,0.17519752662315355,-0.3457210701279244,0.8390804597701149,0.8371193496726416
,,,,,,,,,,,,,,,,,,
2.0,2.0,SACRAMENTO,38.672914,-121.35933999999999,108750.0,Wed May 21 00:00:00 EDT 2008,1022.0,CA,4533 LOCH HAVEN WAY,Residential,95842.0,143281.77272727274,0.0802868172171311,-0.9072476634270934,0.17554105118515975,-0.34337653684088476,0.9157088122605364,1.0719270780702936
,,,,,,,,,,,,,,,,,,
2.0,2.0,SACRAMENTO,38.700051,-121.35127800000001,110700.0,Wed May 21 00:00:00 EDT 2008,1134.0,CA,7340 HAMDEN PL,Condo,95842.0,143281.77272727274,0.0802868172171311,-0.9072476634270934,0.194778426657506,-0.21208267276666395,0.9157088122605364,1.0719270780702936
,,,,,,,,,,,,,,,,,,
1.0,2.0,RIO LINDA,38.689591,-121.45223899999999,113263.0,Wed May 21 00:00:00 EDT 2008,844.0,CA,6715 6TH ST,Residential,95673.0,172727.61538461538,0.13086418343015552,-0.6132355624351656,0.1449673651666094,-0.5520399993874142,0.2681992337164751,-0.9121982268898662
,,,,,,,,,,,,,,,,,,
1.0,2.0,CITRUS HEIGHTS,38.679776000000004,-121.314089,116250.0,Wed May 21 00:00:00 EDT 2008,795.0,CA,6236 LONGFORD DR Unit 1,Condo,95621.0,177284.57142857142,0.1386913948071187,-0.5677350740911077,0.13655101339745793,-0.6094810649198857,0.06896551724137931,-1.5226983207237614
,,,,,,,,,,,,,,,,,,
1.0,2.0,SACRAMENTO,38.612099,-121.469095,120000.0,Wed May 21 00:00:00 EDT 2008,588.0,CA,250 PERALTA AVE,Residential,95833.0,198765.9,0.17558859060289006,-0.35324739177617365,0.10099622122981793,-0.8521402601284902,0.8812260536398467,0.9662636002913502
,,,,,,,,,,,,,,,,,,
2.0,3.0,RIO LINDA,38.689999,-121.46321999999999,121630.0,Wed May 21 00:00:00 EDT 2008,1356.0,CA,113 LEEWILL AVE,Residential,95673.0,172727.61538461538,0.13086418343015552,-0.6132355624351656,0.23290965304019237,0.04816052209473794,0.2681992337164751,-0.9121982268898662
,,,,,,,,,,,,,,,,,,
2.0,3.0,CITRUS HEIGHTS,38.707851,-121.32070700000001,122000.0,Wed May 21 00:00:00 EDT 2008,1118.0,CA,6118 STONEHAND AVE,Residential,95621.0,177284.57142857142,0.1386913948071187,-0.5677350740911077,0.19203023016145654,-0.23083893906298122,0.06896551724137931,-1.5226983207237614
,,,,,,,,,,,,,,,,,,
2.0,4.0,SACRAMENTO,38.468173,-121.444071,122682.0,Wed May 21 00:00:00 EDT 2008,1329.0,CA,4882 BANDALIN WAY,Residential,95823.0,175243.04918032786,0.13518479390650892,-0.5881193521847142,0.2282720714531089,0.016509322719702568,0.842911877394636,0.8488597360925242
,,,,,,,,,,,,,,,,,,
2.0,4.0,NORTH HIGHLANDS,38.702791999999995,-121.38221000000001,123000.0,Wed May 21 00:00:00 EDT 2008,1240.0,CA,7511 OAKVALE CT,Residential,95660.0,135659.33333333334,0.06719420807871603,-0.9833565201840563,0.21298522844383375,-0.08782240855356216,0.21839080459770116,-1.06482325034834
,,,,,,,,,,,,,,,,,,
2.0,3.0,SACRAMENTO,38.628631,-121.488097,124100.0,Wed May 21 00:00:00 EDT 2008,1601.0,CA,9 PASTURE CT,Residential,95834.0,248426.27272727274,0.26088724844504374,0.1426036080235157,0.27499141188594983,0.3353658497570959,0.8850574712643678,0.9780039867112328
,,,,,,,,,,,,,,,,,,
2.0,3.0,NORTH HIGHLANDS,38.701499,-121.37621999999999,125000.0,Wed May 21 00:00:00 EDT 2008,901.0,CA,3729 BAINBRIDGE DR,Residential,95660.0,135659.33333333334,0.06719420807871603,-0.9833565201840563,0.15475781518378565,-0.485220800706784,0.21839080459770116,-1.06482325034834
,,,,,,,,,,,,,,,,,,
2.0,3.0,ANTELOPE,38.709740000000004,-121.37377,126640.0,Wed May 21 00:00:00 EDT 2008,1088.0,CA,3828 BLACKFOOT WAY,Residential,95843.0,232496.39393939395,0.23352544655812346,-0.016453722597759103,0.1868773617313638,-0.2660069383685761,0.9195402298850575,1.0836674644901763
,,,,,,,,,,,,,,,,,,
1.0,3.0,SACRAMENTO,38.537526,-121.478315,127281.0,Wed May 21 00:00:00 EDT 2008,963.0,CA,4108 NORTON WAY,Residential,95820.0,143371.47826086957,0.08044089905737113,-0.9063519678034251,0.16540707660597734,-0.4125402688085546,0.8314176245210728,0.8136385768328763
,,,,,,,,,,,,,,,,,,
2.0,3.0,SACRAMENTO,38.476471999999994,-121.50171100000001,129000.0,Wed May 21 00:00:00 EDT 2008,1119.0,CA,1469 JANRICK AVE,Residential,95832.0,175196.83333333334,0.1351054117049028,-0.5885808101376111,0.19220199244245964,-0.2296666724194614,0.8773946360153256,0.9545232138714675
,,,,,,,,,,,,,,,,,,
